type,title,description
1,Attention to Detail,xyz
1,Communication Skills,xyz
1,Computer Software,xyz
1,Creativity,xyz
1,Critical Thinking Skills,xyz
1,Data Analysis,xyz
1,Digital Literacy,xyz
1,Emotional Intelligence,xyz
1,Financial Literacy,xyz
1,Foreign Languages,xyz
1,Logical Reasoning,xyz
1,Management Skills,xyz
1,Marketing,xyz
1,Negotiation,xyz
1,Organization Skills,xyz
1,Problem Solving Skills,xyz
1,Project Management,xyz
1,Responsibility,xyz
1,Teamwork,xyz
1,Writing Skills,xyz
1,Other,xyz
2,Active Listening,
2,Adaptability,
2,Administrative,
2,Affiliate Marketing,
2,Analytical Reasoning,
2,Artificial Intelligence,
2,Blockchain,
2,Business Analysis,
2,Business Development,
2,Business Intelligence,
2,Business Management,
2,Business Storytelling,
2,Channel Marketing,
2,Cloud Computing,
2,Coaching,
2,Collaboration,
2,Consulting,
2,Content Marketing,
2,Content Strategy,
2,Creativity,
2,Critical Thinking,
2,Data Analysis,
2,Delegating Tasks,
2,Digital Marketing,
2,Digital Media,
2,Economics,
2,Editing,
2,Leadership,
2,Management,
2,Marketing,
2,Market Research,
2,Media Planning,
2,Negotiation,
2,Newsletters,
2,Nonverbal Communication,
2,Online Marketing,
2,People Skills,
2,Persuasion,
2,Presentation,
2,Problem Solving,
2,Project Management,
2,Public Relations,
2,Relationship Management,
2,Research,
2,Sales,
2,Scientific Computing,
2,Social Media,
2,Strategic Planning,
2,Taking Initiative,
2,UX Design,
2,Writing,
2,Other,
2,basic syntex,
2,basic programming concept,
2,"array, string, collections",
2,OOP,
2,java standard library,
2,object-oriented design pattern,
2,file input and output,
2,javas exception-handling mechanism,
2,"basic data structures like linked list, stack, queue, tree, and graph in java",
2,multi-threading and concurrency,
2,java virtual machine (jvm),
2,"advanced data structures such as trees, maps, and sets",
2,jdbc and hibernate,
2,"javas network programming capabilities, including sockets and web services",
2,"RMI, JMS, and EJB",
2,dependency injection,
2,inversion of control,
2,create and configure,
2,auto-configuration,
2,starter dependencies,
2,JPA,
2,hibernate,
2,REST controllers,
2,spring Security,
2,microservices architecture,
2,basic data types,
2,control structures,
2,functions and modules,
2,file input/output,
2,exception handling,
2,regular expressions,
2,advanced data structures and algorithms,
2,network programming using sockets and other libraries,
2,unit testing and test-driven development,
2,data manipulation and analysis using libraries such as NumPy and pandas,
2,understanding and utilizing built-in Python libraries and third-party modules,
2,concurrency and parallelism using libraries such as multiprocessing and asyncio,
2,machine learning and data science using libraries such as sci-kit-learn and tensorFlow,
2,understanding and utilizing the Model-View-Controller (MVC) pattern in Django,
2,creating and managing models and database tables using the Django ORM,
2,handling and validating forms using Django built-in Form and ModelForm classes,
2,creating views and handling requests using function-based views and class-based views,
2,using URL routing and regular expressions to map URLs to views,
2,using the Django template language to create dynamic templates,
2,implementing authentication and authorization using Django built-in user system,
2,creating RESTful APIs using Django Rest Framework,
2,Implementing caching for performance optimization,
2,Utilizing Djangos built-in administration interface to manage the application,
2,Understanding the basics of the Flask micro-framework,
2,Creating views and handling requests using functions decorated,
2,Using URL routing and regular expressions to map URLs to views,
2,Managing application configuration using environment variables and Flask built-in config object,
2,Handling forms and input validation using Flask-WTF,
2,Creating RESTful APIs using Flask-RESTful or Flask-RESTPlus,
2,Utilizing SQLAlchemy or other ORM libraries for database management,
2,java basic,
2,advance java,
2,java spring boot,
2,python basic,
2,advance python,
2,python django,
2,python flask,
127,Appliances,piuyctYMwD
127,Musical Instrument,dxFtKxjgAI
127,Automotive Parts & Accessories,ZyLFT7FTL8
127,Cell Phones & Accessories,67BlILv97U
127,Toys & Games,EG9SqTo9dw
127,Household & Kitchen Appliances,rYhOOyDsCu
127,Industrial & Scientific Supplies,VzOw7TCCxY
127,Sports & Outdoor,d1CfFLnwTC
127,Automotive Parts & Accessories,KogTOz8mei
127,Beauty & Personal Care,0SMhMXyH3b
127,Handcrafts,JOvA8ZWHCe
127,Tools & Home Decoration,ggyaukv54E
127,Apps & Games,b0NL8yZZVz
127,Industrial & Scientific Supplies,ZWGX3uizfz
127,Tools & Home Decoration,bBAxQRDqgg
127,Books,33PCQuwd3u
127,Beauty,z8ZP4wa1nb
127,Computers & Electronics,bOrAHHbMUA
9,Toys & Games,2JPmDWuVjd
127,Apps & Games,7NbmogZ2Vg
127,Musical Instrument,5WlGEw7ZtP
127,Centurion Garden & Outdoor,GWh2Z7XZaX
1,Books,vgLh5rBXgZ
127,Pet Supplies,VHqrevpG37
127,Sports & Outdoor,Yw4Uxv8SyF
127,Film Supplies,0KVZpxs6tU
127,Centurion Garden & Outdoor,wPs7KemCYq
127,Health & Baby Care,Zn0J5Doxyz
13,Sports & Outdoor,zhMGF2QXtY
127,Industrial & Scientific Supplies,ddeysSPWxG
127,Food,rLozvlCqn3
127,Pet Supplies,iwwzynKQbg
127,CDs & Vinyl,C2aykX1g3y
127,Industrial & Scientific Supplies,kLXXpmMbj6
127,Beauty & Personal Care,6Wi7Yo158C
16,Toys & Games,02YtT3QSC8
127,Sports & Outdoor,vX78qUFY7T
127,Tools & Home Decoration,CUfO46121q
127,Baby,XQho3knWDX
127,Baggage & Travel Equipment,DPuOmDP6JR
127,Film Supplies,Cs1l7Qkn5u
127,Baby,tDANTPxXWB
127,"Clothing, Shoes and Jewelry",QPk5S9xViJ
127,Automotive Parts & Accessories,NgNRqLJkyI
127,Sports & Outdoor,icykZYkGjm
127,Health & Baby Care,dznvuG4vZ3
127,Others,LVRWdgKRgQ
127,CDs & Vinyl,vmH5cj1CzJ
49,Books,QCCq7gJORt
127,Musical Instrument,0jYNeo9jq4
114,Toys & Games,8ERiId7yEm
127,CDs & Vinyl,okfFFeqond
127,Baggage & Travel Equipment,eaN23X1g2h
127,Beauty & Personal Care,A1LmYQBeil
10,Handcrafts,ZBMkpE5a55
127,Health & Baby Care,J8XvVZYvzZ
127,Video Games,4L04dcya2A
120,Beauty & Personal Care,6ZwhCTK2yh
127,Pet Supplies,gmBTo9RTTM
35,Baggage & Travel Equipment,zPbMn6pe6t
127,"Clothing, Shoes and Jewelry",O7mlAqREgb
127,Beauty,87y0DyuGNB
127,Appliances,iXnL08tLU5
127,Sports & Outdoor,yQdotsG4Vm
127,Collectibles & Fine Art,MSeYFwrZ8z
127,Baby,vaeDeO1qYc
127,Automotive Parts & Accessories,pAzA8ndov4
127,Baggage & Travel Equipment,OkxLOBT1Jf
13,Baby,ER9MCKaBki
127,Toys & Games,HmWEWBDYcE
127,Musical Instrument,eh4CLRDqYH
127,Others,CFrG4Eaym5
127,Beauty & Personal Care,KlwyZ4yfUf
127,Handcrafts,lNnBfhjafm
127,Industrial & Scientific Supplies,wSaPM4zpaM
127,Appliances,hglBw4Jjkm
127,CDs & Vinyl,tLJISwWQO4
127,Sports & Outdoor,KpouXVcnSB
127,Others,N2ygMLZW35
127,Food,SIUMNQMLpt
127,Industrial & Scientific Supplies,CWXNXO92Yt
127,Industrial & Scientific Supplies,8SyRItCNms
127,Pet Supplies,uUjOXuggZF
127,Appliances,tGBvuerBc0
127,Toys & Games,1W1Xp6rrAV
127,"Arts, Handicrafts & Sewing",uBw7BkMFvA
127,Film Supplies,USXFHk8v9f
127,CDs & Vinyl,zWAzCj28dF
127,Health & Baby Care,Hjrd2LpZTt
127,Food,qdQJqExWMt
127,Centurion Garden & Outdoor,IOx0JvKUgx
127,Beauty & Personal Care,S2Ge3g6r7h
127,Sports & Outdoor,dgb87mDnaf
127,Collectibles & Fine Art,EBNIwZ8gzC
127,Centurion Garden & Outdoor,qbAk2IAxWH
89,Musical Instrument,CO91U6QJZX
43,Cell Phones & Accessories,Sj7QxOXUn3
127,Centurion Garden & Outdoor,tbziF6IifU
127,Automotive Parts & Accessories,eT9vcILDNr
127,Computers & Electronics,SLk1qAn1x6
127,Centurion Garden & Outdoor,TaaBqTSAWq
127,Tools & Home Decoration,PwR1e71ycZ
127,"Arts, Handicrafts & Sewing",f0VoLPN4qP
127,Apps & Games,XehhvxHB6a
127,Food,KkkuLAl7wt
127,Computers & Electronics,MVahyg9qzS
5,Apps & Games,v7p1eRpoui
127,Computers & Electronics,jPpvkZ1VC4
127,Others,0gyZ2d3zIu
127,Books,kAgaxyy5Gm
127,Video Games,F2o7OGt70Z
127,Apps & Games,MBuDGDzCcI
127,Baggage & Travel Equipment,TYJg91KZIM
127,Cell Phones & Accessories,BDEnpBEnF3
127,Pet Supplies,lgYjB7M5Ho
127,Collectibles & Fine Art,szD5sDzyoK
127,"Clothing, Shoes and Jewelry",2RhBOo6AKS
127,Beauty & Personal Care,MZCYbgp3xP
104,Baggage & Travel Equipment,ArGWYFiBQq
127,Industrial & Scientific Supplies,OLA54osMFG
127,Automotive Parts & Accessories,eFWoO9EuJc
127,"Clothing, Shoes and Jewelry",FdS1x0WvQy
127,Handcrafts,aVssyiOM5Z
127,CDs & Vinyl,P6s6lfgYyl
127,Collectibles & Fine Art,DiBuNSIhH7
127,Beauty & Personal Care,dJ6k4QfMIV
127,Others,WmUEw92Xlr
55,Collectibles & Fine Art,1xejONyfQO
127,"Arts, Handicrafts & Sewing",ejxEaeJV0M
127,"Arts, Handicrafts & Sewing",i3ktIEgFWJ
127,Others,UyzHrUUrIf
127,Film Supplies,TrmUhbBJB6
127,Musical Instrument,4SkWVyioHS
127,Baby,1MsB6N5HYM
127,Books,hyLMGBpYul
127,Toys & Games,a3WgsI7IEh
127,Tools & Home Decoration,KSpjQmx7RD
19,"Arts, Handicrafts & Sewing",JxwwMuAzN4
127,CDs & Vinyl,R34ZzcJyz4
127,Toys & Games,u7OG2oQDc8
127,"Clothing, Shoes and Jewelry",9zKzVkH58D
127,Collectibles & Fine Art,hce1O68x7Q
127,Food,3NacqKfqdQ
127,Automotive Parts & Accessories,DxEhElwxzx
127,Cell Phones & Accessories,ZCb6qysZOB
127,Film Supplies,Zmu7j92Bao
127,Cell Phones & Accessories,qPR0nbhOCL
127,Others,b0mpW6PTIF
127,Others,uyRHiRD23c
127,Apps & Games,Kr3e654lwo
127,Film Supplies,P8sL0jhMyw
127,Film Supplies,sJIUexlRno
127,Tools & Home Decoration,tiNnd8ufaA
127,Video Games,BIWpJ71IiH
127,Centurion Garden & Outdoor,HRPreXtnF9
127,Musical Instrument,UZtujch2jq
13,"Arts, Handicrafts & Sewing",0yI78wuFae
127,Cell Phones & Accessories,rFXgAuMoe0
127,Beauty & Personal Care,eZm0H7vBbd
127,Appliances,lFDLq6hO1A
127,"Arts, Handicrafts & Sewing",wpJVKxkU9n
127,Household & Kitchen Appliances,K5i9Zw4MOq
127,CDs & Vinyl,ctxeR86bm8
127,Books,U5XN48fQCU
127,Centurion Garden & Outdoor,NXGRuejPkB
127,Automotive Parts & Accessories,aGBW0JfSsC
52,Collectibles & Fine Art,tvEA7C1ULH
127,Toys & Games,Ra50Npkkdd
127,Food,7211gFIrbl
127,Household & Kitchen Appliances,QCGySmS15S
127,Industrial & Scientific Supplies,A0ORlRT7UW
127,Musical Instrument,JUCzshaUYP
127,"Arts, Handicrafts & Sewing",93W4azdhf7
127,"Arts, Handicrafts & Sewing",h42jnuhD2B
127,Video Games,5Ps8TkJWDt
79,Others,a9JWDM2QNB
127,Household & Kitchen Appliances,3QKs1L3CPp
127,Sports & Outdoor,ZuYLX1LVU8
127,Handcrafts,f8sNqGu2SO
127,Sports & Outdoor,udzKFYtHBs
127,Musical Instrument,DjF4GH0JeP
119,Centurion Garden & Outdoor,RVGnLysOop
127,Household & Kitchen Appliances,6PIO79ys32
127,Baggage & Travel Equipment,RYuQtwg4Co
127,Food,azbdsLVxIj
56,Apps & Games,xPJqJh3dlN
127,Beauty & Personal Care,Z07t0CAgQG
6,Books,ucBdxfXIMK
127,Books,M8PeU0lwwR
127,Computers & Electronics,KLMLi9ZQDW
127,Others,c73aEorgNS
127,Computers & Electronics,ju7o9FlbZp
57,Centurion Garden & Outdoor,kZxoKCX9XY
127,Pet Supplies,khfUP1xsUK
127,Collectibles & Fine Art,IunpQ6ewOR
127,CDs & Vinyl,1CxXFLMGbr
127,Toys & Games,ckYTncUrEM
127,"Arts, Handicrafts & Sewing",io9HQefXJo
127,Film Supplies,qpDPdfqv0M
127,Collectibles & Fine Art,aBbngghB1w
127,CDs & Vinyl,KnuGLLnczr
127,Pet Supplies,2jVgIo1INX
127,"Arts, Handicrafts & Sewing",ghxd8x3F39
127,Appliances,10WqXaoyOg
127,Toys & Games,TXDI1iEmOk
127,Health & Baby Care,fuOe4nzf3C
127,Toys & Games,u7MGlrY6Fx
40,Toys & Games,NGzjGi9ZKy
127,Musical Instrument,efPDu84rQt
127,CDs & Vinyl,VIwbAfUYqK
127,Automotive Parts & Accessories,d5hXH0zeQL
127,Automotive Parts & Accessories,HbkwHC9ozP
108,Baby,EV5bqyOlye
127,Beauty,WyeKJwWJAP
127,Apps & Games,o0YOFG4KyU
127,Centurion Garden & Outdoor,4T7y5AEHqG
127,Cell Phones & Accessories,BI3uKidcP2
127,Pet Supplies,jzbnno1bpf
24,Beauty,K7jF1X4xW4
127,Centurion Garden & Outdoor,TrQo1Wn8Jn
52,CDs & Vinyl,Lk3fozqxPI
95,"Clothing, Shoes and Jewelry",BEovv4ESXm
127,Beauty & Personal Care,8GLmBK1CYP
103,Apps & Games,8X1iZqhBGK
127,Cell Phones & Accessories,WBDwsWvswy
127,Toys & Games,HdUv9hyP76
127,Beauty,yOoqyRSV2W
127,Beauty & Personal Care,6IiIZb93FJ
127,Household & Kitchen Appliances,dd2YoBy5LH
